Tender_ID,Client_Name,Sector,Expected_Contract_Value_USD,Win_Probability_Pct,Stage,Baseline_Turnaround,Submission_Turnaround_Days,DMAIC_Optimized,Profit_Margin_Pct,Risk_Rating
TND-2026-042,National Procurement Office,Infrastructure,420000,28,Final Negotiation,35,23,True,22.4,Medium
TND-2026-043,Waikato Utilities Board,Commercial Construction,1400000,38,Lead,32,24,True,25.9,High
TND-2026-044,Auckland Transport Authority,Commercial Construction,1570000,53,Lead,30,30,False,19.6,High
TND-2026-045,Bluewater Airport Corporation,Commercial Construction,1140000,61,Commercial Proposal,30,29,False,16.5,Low
TND-2026-046,Harbourview Commercial Group,Commercial Construction,1950000,34,Commercial Proposal,23,26,False,19.3,Medium
TND-2026-047,Pacific Health Infrastructure,Commercial Construction,1080000,68,Technical Evaluation,28,19,True,22.3,Medium
TND-2026-048,Seabright University Consortium,Commercial Construction,2600000,48,Won,27,19,True,15.3,Medium
TND-2026-049,National Procurement Office,Commercial Construction,1380000,65,Lost,27,21,True,22.1,Medium
TND-2026-050,Regional Justice Precinct,Infrastructure,1620000,63,Technical Evaluation,17,18,False,15.2,Medium
TND-2026-051,Capital Civic Works,Commercial Construction,390000,44,Lead,32,34,False,12.6,Medium
TND-2026-052,Meridian Data Campus,Commercial Construction,1640000,46,Lead,23,26,False,27.3,Low
TND-2026-053,Southern Ports Commission,Government Procurement,430000,38,Commercial Proposal,32,25,True,13.2,Medium
TND-2026-054,Crown Facilities Directorate,Government Procurement,540000,29,Lead,19,18,False,21.8,Low
TND-2026-055,Harbourview Commercial Group,Government Procurement,1750000,69,Final Negotiation,15,18,False,18.0,High
TND-2026-056,Te Moana Housing Authority,Commercial Construction,1540000,67,Final Negotiation,19,13,True,22.1,Medium
TND-2026-057,National Procurement Office,Government Procurement,1870000,66,Technical Evaluation,23,17,True,18.1,High
TND-2026-058,Greenline Rail Alliance,Government Procurement,2400000,59,Final Negotiation,29,19,True,14.9,High
TND-2026-059,Kauri Retail Developments,Infrastructure,1430000,64,Technical Evaluation,18,13,True,16.4,High
TND-2026-060,Southern Ports Commission,Government Procurement,820000,57,Lost,19,17,False,17.5,Low
